"X_t" "Y_t" "t"
5 5 0
5.38048558542613 5.0967483213406 0.25
4.71640795398206 5.61056817637627 0.5
4.29671257815089 5.56126530127377 0.75
4.34404404311736 5.44717025723464 1
4.55890172320041 5.64215207138793 1.25
5.03794687825251 5.9267542302642 1.5
5.62464577263745 5.81229785902127 1.75
5.50449802348849 5.39005593646177 2
5.72609283144144 5.30034969654918 2.25
5.74626368840414 5.68167299704618 2.5
4.69476101445952 6.67289587051591 2.75
4.03707305292874 6.7899219518592 3
4.41545492747492 7.14688945635226 3.25
5.12569672678191 6.54516014339017 3.5
5.33414199563073 6.59827865186758 3.75
4.67524226791084 5.81003128865501 4
4.27304666853838 5.45312924755506 4.25
4.328723096024 5.65228792391722 4.5
5.2480222625737 6.11573734654811 4.75
6.07450378099993 5.42679310689167 5
5.77306581463746 4.92689549601028 5.25
5.03372111718981 4.64965738871094 5.5
5.05195792091835 5.0681210685928 5.75
4.33526635876375 5.13961955139493 6
4.91550997781141 4.97519978503023 6.25
5.15097665598839 4.96179896851205 6.5
5.51080087959091 4.44689763773633 6.75
5.39559384782499 4.06025165329949 7
6.40968934184207 4.20194418921019 7.25
6.30125011448617 4.03193323357963 7.5
6.0469694819577 4.65255890204803 7.75
5.59063577530217 4.06675139556919 8
6.04267020009103 3.88140096149001 8.25
5.32105917127376 4.00083951497679 8.5
6.00898647582169 3.59265412897615 8.75
6.41285794220525 3.74688804518345 9
5.5297687675616 3.84531876822585 9.25
5.48584796279989 3.39521620295236 9.5
6.21273166942825 3.82274038845826 9.75
6.43144064815577 3.89391153852416 10
6.46080266500788 4.22984856162231 10.25
6.31862080075007 4.41972850466928 10.5
5.58767372896426 3.93385568744009 10.75
5.57338639021829 4.9416447775862 11
5.35601496831009 4.53238704980029 11.25
5.21751850467212 3.98676098925376 11.5
4.26783396346284 4.39366049763876 11.75
4.7757572821239 4.01948809154332 12
4.38271201585531 4.73761394197265 12.25
4.60072518293019 4.56162658224171 12.5
4.71029995405533 5.15761524289478 12.75
4.23720997825868 4.70933030375028 13
4.83874782015306 4.87597279061523 13.25
5.3359558997946 4.2226017301033 13.5
6.60021541245032 4.86697266945018 13.75
5.50335597655354 6.22918238458454 14
6.05534222139913 5.78912334395943 14.25
5.81962746073547 5.03529562525407 14.5
5.01869922184079 5.67699253756323 14.75
5.56500055037306 5.9930661439743 15
4.96906342198268 6.88318734553403 15.25
5.48792778317457 6.9086220357277 15.5
5.45178178559889 5.97491286872899 15.75
5.71792360164497 5.54894925218948 16
5.10087184650291 5.75965271594897 16.25
5.49168373593584 5.33261954568724 16.5
5.71774620280662 4.94321350750233 16.75
5.71259426994013 5.23189518872369 17
6.69772090014197 6.048035698449 17.25
5.66230342561086 5.75376842205502 17.5
5.20685673714851 5.12998048873086 17.75
5.71165926772468 4.89749425648611 18
6.77931712873212 5.4633801044105 18.25
6.20592284690427 4.79462774009208 18.5
6.25033212623552 4.61736113342097 18.75
6.19901565359988 4.71739551394158 19
5.93475681326944 4.80449844728324 19.25
5.89616788921318 4.63507342146617 19.5
6.21570847352812 5.21439584618457 19.75
5.5490208271699 4.44691280491173 20
5.85150702910799 4.55627150294492 20.25
5.96121025053512 4.44099093598929 20.5
6.09595292988301 4.18925216976338 20.75
5.76654264569492 4.26848151644549 21
5.66990648177157 3.94071137938979 21.25
5.15276073583714 3.92819004654754 21.5
4.58444388707914 4.22578723078971 21.75
5.22017674917309 3.74733665117333 22
5.88187175950112 4.56008970933893 22.25
5.31374571626566 5.03694515112878 22.5
4.57388918831895 4.68207177257623 22.75
4.07979387964182 3.92866274959111 23
3.85547214480195 4.27427316322161 23.25
3.56362623734782 4.710386162232 23.5
3.84615971861141 5.53333548862195 23.75
4.34790769199641 5.63100398300205 24
3.73225420628785 5.74537931790785 24.25
4.63309283272983 5.32864971319025 24.5
4.20930501905346 5.72824305564541 24.75
4.04695300901303 5.27592324531898 25
