"X_t" "t"
"1" 1 0
"2" 1.15904868260391 0.25
"3" 1.05595756149697 0.5
"4" 1.08781577644277 0.75
"5" 1.12274325863003 1
"6" 1.23826329783157 1.25
"7" 1.11808445519765 1.5
"8" 1.33212969307804 1.75
"9" 1.15272521532242 2
"10" 0.848068981735661 2.25
"11" 0.805442840430323 2.5
"12" 0.705895766364002 2.75
"13" 0.764883037610368 3
"14" 0.985349994428702 3.25
"15" 1.08492210650504 3.5
"16" 1.1022518900619 3.75
"17" 0.971138688987584 4
"18" 1.08458687760102 4.25
"19" 1.43872805730218 4.5
"20" 1.30347194163037 4.75
"21" 1.46827960412824 5
"22" 1.45968757361652 5.25
"23" 1.37704139150928 5.5
"24" 1.19531404858727 5.75
"25" 1.33075156364746 6
"26" 1.42219544946282 6.25
"27" 1.10001949115189 6.5
"28" 0.907367879159764 6.75
"29" 0.779957220977637 7
"30" 0.194878200168976 7.25
"31" 0.198708684498095 7.5
"32" -0.0199530830849778 7.75
"33" -0.123682310758466 8
"34" -0.112000886178699 8.25
"35" 0.0818593924258621 8.5
"36" 0.166139854925202 8.75
"37" 0.489147507248088 9
"38" 0.93073273444189 9.25
"39" 1.24578955585666 9.5
"40" 0.986694231197341 9.75
"41" 1.23623900792055 10
"42" 1.06618191478514 10.25
"43" 1.02811271413142 10.5
"44" 1.16871736821775 10.75
"45" 1.11006807632603 11
"46" 0.821032764212898 11.25
"47" 0.91430080718957 11.5
"48" 1.06754149585394 11.75
"49" 0.998347231057229 12
"50" 1.20309065745332 12.25
"51" 1.18137985725855 12.5
"52" 1.31744357403045 12.75
"53" 1.48853091119603 13
"54" 1.60862227674184 13.25
"55" 1.44786331550986 13.5
"56" 0.99954909767444 13.75
"57" 1.2259758338065 14
"58" 1.30800660008611 14.25
"59" 1.05130859085729 14.5
"60" 1.01954605335849 14.75
"61" 0.59547659094309 15
"62" 0.672611249177846 15.25
"63" 1.07955102807696 15.5
"64" 1.02887428806806 15.75
"65" 1.22817403053713 16
"66" 1.14925645360647 16.25
"67" 1.18835351234171 16.5
"68" 1.33424755325254 16.75
"69" 1.54288237588608 17
"70" 1.35559102524844 17.25
"71" 1.41585996611436 17.5
"72" 1.35899002466602 17.75
"73" 1.14332967595436 18
"74" 1.24462993305212 18.25
"75" 1.11602652007758 18.5
"76" 0.697367105180321 18.75
"77" 0.506285011774093 19
"78" 0.45926334524199 19.25
"79" 0.48170205349708 19.5
"80" 0.625060432629883 19.75
"81" 0.261012903624998 20
"82" 0.275979637010068 20.25
"83" 0.930263471923508 20.5
